"키워드","추세","광고 노출 수"
"한국공인회계사회 홈페이지","[21,25,20,31,30,25]","152"
"한국세무사회국가공인자격증시험","[37,25,25,20,50,26]","183"
"전산세무회계","[86,34,21,28,41,42,67,25,26]","370"
"세무 사회의 자격 시험","[48,90,24,66,166]","394"
"세무회계","[88,25,27,47,35,34,27,62,30,32]","407"
"한국세무사회홈페이지 바로가기","[64,28,28,41,66,47,36,49,51,29,32,49]","520"
"한국세무사회자격시험홈페이지","[191,34,27,78,99,87,95,164,196,49,45,78]","1143"
"한국세무사회 자격시험","[290,52,38,98,132,110,94,119,307,58,48,142]","1488"
"전산세무회계자격시험홈페이지","[496,92,87,167,211,159,193,233,624,127,25,101,207]","2722"
"at자격시험","[109,340,297,511,198,152,146,98,104,183,78,290,434]","2940"
"전산회계","[670,102,104,231,329,267,240,224,596,129,34,104,234]","3264"
"한국세무사회 국가자격시험","[681,163,85,254,295,254,251,246,588,171,36,130,271]","3425"
"전산회계자격시험홈페이지","[818,150,113,312,438,308,294,308,815,171,73,189,361]","4350"
"한국세무사회자격시험","[2382,428,300,710,1048,905,700,830,1966,418,101,426,772]","10986"
"한국세무사회","[2476,1051,911,1387,1854,1583,1416,1538,1771,873,251,1075,1111]","17297"
"tat","[2825,2760,2276,2712,2668,2867,3085,2861,2633,2755,2901,2908,2865]","36116"
